,year,week,provinceID,SMN,SMT,VCI,TCI,VHI
0,1982,01,21,0.046,253.41,36.09,67.67,51.88
1,1982,02,21,0.045,254.47,38.14,63.53,50.83
2,1982,03,21,0.043,255.75,39.0,59.29,49.14
3,1982,04,21,0.043,257.91,43.21,51.11,47.16
4,1982,05,21,0.042,259.03,41.37,48.49,44.93
5,1982,06,21,0.038,259.83,32.65,49.6,41.12
6,1982,07,21,0.038,261.61,26.26,49.24,37.75
7,1982,08,21,0.041,263.97,22.8,47.85,35.33
8,1982,09,21,0.045,266.49,21.59,46.71,34.15
9,1982,10,21,0.052,269.43,22.57,45.35,33.96
10,1982,11,21,0.064,272.64,25.8,41.76,33.78
11,1982,12,21,0.081,275.4,30.21,42.88,36.55
12,1982,13,21,0.093,277.63,30.38,46.01,38.2
13,1982,14,21,0.102,279.55,27.29,50.27,38.78
14,1982,15,21,0.114,280.96,22.35,58.99,40.67
15,1982,16,21,0.135,282.59,19.35,66.84,43.09
16,1982,17,21,0.163,284.55,17.57,75.37,46.47
17,1982,18,21,0.207,286.79,21.7,78.31,50.0
18,1982,19,21,0.258,288.95,25.56,75.84,50.7
19,1982,20,21,0.307,290.86,27.69,72.49,50.09
20,1982,21,21,0.346,291.8,29.07,74.74,51.91
21,1982,22,21,0.375,292.19,28.91,76.84,52.87
22,1982,23,21,0.392,292.34,26.05,81.15,53.6
23,1982,24,21,0.394,292.01,17.29,89.77,53.53
24,1982,25,21,0.391,291.81,12.2,95.17,53.69
25,1982,26,21,0.387,291.64,11.37,96.75,54.06
26,1982,27,21,0.381,291.66,11.33,96.48,53.91
27,1982,28,21,0.384,292.12,16.33,94.76,55.55
28,1982,29,21,0.389,292.57,25.94,93.66,59.8
29,1982,30,21,0.395,292.84,37.49,92.82,65.16
30,1982,31,21,0.399,293.09,45.94,89.89,67.91
31,1982,32,21,0.394,293.25,48.63,86.86,67.75
32,1982,33,21,0.390,293.28,52.37,81.57,66.97
33,1982,34,21,0.382,292.45,55.28,80.32,67.8
34,1982,35,21,0.380,291.79,62.52,74.5,68.51
35,1982,36,21,0.375,291.6,70.04,58.23,64.13
36,1982,37,21,0.358,290.51,73.14,49.38,61.26
37,1982,38,21,0.338,288.73,73.76,49.13,61.44
38,1982,39,21,0.306,286.73,67.22,51.02,59.12
39,1982,40,21,0.267,284.55,58.09,50.49,54.29
40,1982,41,21,0.229,282.21,51.38,51.33,51.36
41,1982,42,21,0.198,280.13,48.55,50.64,49.59
42,1982,43,21,0.171,277.62,49.04,48.77,48.91
43,1982,44,21,0.150,276.13,51.26,34.91,43.09
44,1982,45,21,0.126,274.67,47.97,24.71,36.34
45,1982,46,21,0.104,272.66,43.42,21.84,32.63
46,1982,47,21,0.082,270.08,36.25,22.67,29.46
47,1982,48,21,0.068,267.72,33.4,26.57,29.98
48,1982,49,21,0.059,265.69,32.43,30.49,31.46
49,1982,50,21,0.053,263.03,32.0,31.69,31.85
50,1982,51,21,0.049,260.74,31.95,38.02,34.98
51,1982,52,21,0.043,259.46,27.81,41.18,34.5
52,1983,01,21,0.040,259.55,27.49,38.76,33.12
53,1983,02,21,0.040,259.97,30.87,36.1,33.48
54,1983,03,21,0.040,260.16,34.35,36.37,35.36
55,1983,04,21,0.038,260.15,34.15,39.54,36.85
56,1983,05,21,0.036,260.7,32.25,40.36,36.31
